證券代號,證券名稱,Date,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1304,台聚,2021-01-28,9253000,187456150,20.80,20.85,20.00,20.10,-0.55,3846
1305,華夏,2021-01-28,3908000,89859800,23.25,23.30,22.80,23.00,0.00,1543
1307,三芳,2021-01-28,575000,11403550,20.00,20.10,19.65,19.65,-0.40,292
1308,亞聚,2021-01-28,1832000,34826200,19.05,19.15,18.75,18.85,0.05,690
1309,台達化,2021-01-28,4935000,149064900,30.95,31.20,29.50,29.70,-0.70,2353
1310,台苯,2021-01-28,1252000,20324850,16.35,16.40,16.15,16.20,-0.10,550
1312,國喬,2021-01-28,4822000,101281250,21.25,21.30,20.80,20.90,-0.15,1516
1312A,國喬特,2021-01-28,8000,251100,31.30,31.45,31.30,31.45,0.00,5
1313,聯成,2021-01-28,7119000,107741400,15.35,15.50,14.80,14.85,-0.40,1872
1314,中石化,2021-01-28,23232000,217242830,9.49,9.49,9.24,9.26,-0.15,5034
1315,達新,2021-01-28,172000,12027500,70.00,70.20,69.70,69.90,-0.20,137
1316,上曜,2021-01-28,1161000,13820100,11.90,12.05,11.70,11.70,-0.20,339
1319,東陽,2021-01-28,1481000,53140950,36.20,36.40,35.30,35.85,-0.25,1032
1321,大洋,2021-01-28,387000,12637650,33.00,33.00,32.35,32.35,-0.65,208
1323,永裕,2021-01-28,112000,3559050,31.80,32.10,31.60,31.90,0.15,70
1324,地球,2021-01-28,39000,386280,10.00,10.00,9.85,9.85,-0.20,27
1325,恆大,2021-01-28,3426000,291831400,84.90,86.70,84.10,84.20,-1.00,2333
1326,台化,2021-01-28,8912000,697730300,78.50,79.50,77.40,77.40,-2.10,4037
1337,再生-KY,2021-01-28,1472000,11934610,8.28,8.33,8.00,8.03,-0.21,626
1338,廣華-KY,2021-01-28,693000,44364100,66.40,66.50,62.50,62.50,-2.90,491
1339,昭輝,2021-01-28,97000,3946100,40.80,41.25,40.20,40.35,-0.40,69
1340,勝悅-KY,2021-01-28,306000,3132200,10.15,10.45,10.10,10.15,0.00,137
1341,富林-KY,2021-01-28,11000,662100,60.00,60.80,59.70,60.80,0.30,10
1342,八貫,2021-01-28,35000,1954000,55.60,56.20,55.60,55.70,0.40,29
1402,遠東新,2021-01-28,9581000,251758950,26.45,26.65,26.00,26.00,-0.45,3508
1409,新纖,2021-01-28,5019000,63699850,12.75,12.90,12.60,12.60,-0.10,1244
1410,南染,2021-01-28,5000,167850,33.70,33.85,33.30,33.50,-0.25,5
1413,宏洲,2021-01-28,91000,712030,7.90,7.90,7.80,7.84,-0.08,42
1414,東和,2021-01-28,1089000,13592050,12.55,12.60,12.35,12.35,-0.15,394
